step,t,px_actual,py_actual,pz_actual,px_ref,py_ref,pz_ref,pos_err,rot_err_deg,xerr_norm,grip_actual,grip_ref
0,0.000,0.386814,0.000000,0.570194,0.386814,0.000000,0.570194,0.000000,0.0000,0.000000,0,0
1,0.010,0.386815,0.000000,0.570194,0.386815,0.000000,0.570194,0.000001,0.0000,0.000001,0,0
2,0.020,0.386825,0.000000,0.570198,0.386825,0.000000,0.570198,0.000000,0.0000,0.000001,0,0
3,0.030,0.386852,0.000000,0.570206,0.386852,0.000000,0.570206,0.000000,0.0000,0.000001,0,0
4,0.040,0.386903,0.000000,0.570223,0.386903,0.000000,0.570224,0.000000,0.0000,0.000000,0,0
5,0.050,0.386988,0.000000,0.570250,0.386987,0.000000,0.570251,0.000001,0.0000,0.000001,0,0
6,0.060,0.387112,0.000000,0.570290,0.387111,0.000000,0.570292,0.000002,0.0000,0.000002,0,0
7,0.070,0.387283,0.000000,0.570343,0.387282,0.000000,0.570349,0.000005,0.0000,0.000005,0,0
8,0.080,0.387509,0.000000,0.570412,0.387507,0.000000,0.570423,0.000011,0.0000,0.000011,0,0
9,0.090,0.387795,0.000000,0.570495,0.387792,0.000000,0.570516,0.000021,0.0000,0.000021,0,0
10,0.100,0.388149,0.000000,0.570592,0.388145,0.000000,0.570632,0.000040,0.0000,0.000040,0,0
11,0.110,0.388578,0.000000,0.570694,0.388570,0.000000,0.570771,0.000077,0.0000,0.000077,0,0
12,0.120,0.389090,0.000000,0.570773,0.389074,0.000000,0.570935,0.000163,0.0000,0.000163,0,0
13,0.130,0.389701,0.000000,0.570681,0.389662,0.000000,0.571126,0.000446,0.0000,0.000446,0,0
14,0.140,0.390409,0.000000,0.570454,0.390340,0.000000,0.571344,0.000893,0.0000,0.000893,0,0
15,0.150,0.391207,0.000000,0.570305,0.391112,0.000000,0.571592,0.001291,0.0000,0.001291,0,0
16,0.160,0.392134,0.000000,0.569450,0.391985,0.000000,0.571871,0.002425,0.0000,0.002425,0,0
17,0.170,0.393116,0.000000,0.569565,0.392962,0.000000,0.572180,0.002620,0.0000,0.002620,0,0
18,0.180,0.394235,0.000000,0.568893,0.394048,0.000000,0.572521,0.003633,0.0001,0.003633,0,0
19,0.190,0.395440,0.000000,0.568730,0.395247,0.000000,0.572895,0.004169,0.0000,0.004169,0,0
20,0.200,0.396550,0.000000,0.557773,0.396564,0.000000,0.573300,0.015527,0.0000,0.015527,0,0
21,0.210,0.397941,0.000000,0.558180,0.398001,0.000000,0.573739,0.015559,0.0000,0.015559,0,0
22,0.220,0.399450,0.000000,0.558610,0.399564,0.000000,0.574210,0.015600,0.0000,0.015600,0,0
23,0.230,0.401084,0.000000,0.559058,0.401255,0.000000,0.574712,0.015655,0.0000,0.015655,0,0
24,0.240,0.402843,0.000000,0.559517,0.403077,0.000000,0.575247,0.015732,0.0000,0.015732,0,0
25,0.250,0.404732,0.000000,0.559972,0.405034,0.000000,0.575811,0.015842,0.0000,0.015842,0,0
26,0.260,0.406749,0.000000,0.560398,0.407129,0.000000,0.576406,0.016012,0.0000,0.016012,0,0
27,0.270,0.408892,0.000000,0.560716,0.409364,0.000000,0.577028,0.016319,0.0001,0.016319,0,0
28,0.280,0.411142,0.000000,0.560568,0.411742,0.000000,0.577678,0.017121,0.0000,0.017121,0,0
29,0.290,0.414028,0.000000,0.553874,0.414265,0.000000,0.578353,0.024479,0.0000,0.024479,0,0
30,0.300,0.416581,0.000000,0.554401,0.416935,0.000000,0.579050,0.024652,0.0000,0.024652,0,0
31,0.310,0.419284,0.000000,0.554821,0.419755,0.000000,0.579769,0.024952,0.0000,0.024952,0,0
32,0.320,0.422160,0.000000,0.554828,0.422726,0.000000,0.580506,0.025684,0.0000,0.025684,0,0
33,0.330,0.425448,0.000000,0.548304,0.425850,0.000000,0.581259,0.032957,0.0000,0.032957,0,0
34,0.340,0.428516,0.000000,0.548856,0.429128,0.000000,0.582024,0.033174,0.0000,0.033174,0,0
35,0.350,0.431730,0.000000,0.549270,0.432562,0.000000,0.582800,0.033540,0.0001,0.033540,0,0
36,0.360,0.435085,0.000000,0.549219,0.436152,0.000000,0.583582,0.034380,0.0001,0.034380,0,0
37,0.370,0.438403,0.000000,0.541175,0.439899,0.000000,0.584368,0.043219,0.0000,0.043219,0,0
38,0.380,0.441948,0.000000,0.541689,0.443804,0.000000,0.585152,0.043503,0.0000,0.043503,0,0
39,0.390,0.445622,0.000000,0.541994,0.447867,0.000000,0.585932,0.043995,0.0000,0.043995,0,0
40,0.400,0.449390,0.000000,0.541545,0.452089,0.000000,0.586703,0.045239,0.0000,0.045239,0,0
41,0.410,0.457550,0.000000,0.516509,0.456469,0.000000,0.587462,0.070961,0.0000,0.070961,0,0
42,0.420,0.461429,0.000000,0.517179,0.461008,0.000000,0.588202,0.071025,0.0000,0.071025,0,0
43,0.430,0.465446,0.000000,0.517818,0.465704,0.000000,0.588921,0.071103,0.0001,0.071103,0,0
44,0.440,0.469600,0.000000,0.518418,0.470557,0.000000,0.589613,0.071202,0.0001,0.071202,0,0
45,0.450,0.473891,0.000000,0.518963,0.475566,0.000000,0.590273,0.071330,0.0000,0.071330,0,0
46,0.460,0.478322,0.000000,0.519431,0.480730,0.000000,0.590897,0.071506,0.0000,0.071506,0,0
47,0.470,0.482892,0.000000,0.519779,0.486047,0.000000,0.591478,0.071769,0.0000,0.071769,0,0
48,0.480,0.487612,0.000000,0.519886,0.491516,0.000000,0.592013,0.072233,0.0000,0.072233,0,0
49,0.490,0.492537,0.000000,0.519158,0.497134,0.000000,0.592495,0.073481,0.0000,0.073481,0,0
50,0.500,0.497529,0.000000,0.516403,0.502900,0.000000,0.592919,0.076704,0.0000,0.076704,0,0
51,0.510,0.502499,0.000000,0.515485,0.508811,0.000000,0.593280,0.078051,0.0000,0.078051,0,0
52,0.520,0.507532,0.000000,0.512804,0.514864,0.000000,0.593573,0.081101,0.0387,0.081104,0,0
53,0.530,0.512642,0.000000,0.510044,0.521057,0.000000,0.593791,0.084169,0.0780,0.084180,0,0
54,0.540,0.517826,0.000000,0.507205,0.527385,0.000000,0.593930,0.087250,0.1177,0.087274,0,0
55,0.550,0.523076,0.000000,0.504288,0.533846,0.000000,0.593984,0.090340,0.1578,0.090382,0,0
56,0.560,0.528390,0.000000,0.501293,0.540436,0.000000,0.593948,0.093434,0.1983,0.093498,0,0
57,0.570,0.533762,0.000000,0.498221,0.547150,0.000000,0.593816,0.096527,0.2391,0.096618,0,0
58,0.580,0.539187,0.000000,0.495073,0.553984,0.000000,0.593583,0.099616,0.2801,0.099736,0,0
59,0.590,0.544660,0.000000,0.491848,0.560934,0.000000,0.593245,0.102694,0.3213,0.102847,0,0
60,0.600,0.550177,0.000000,0.488549,0.567995,0.000000,0.592795,0.105758,0.3626,0.105947,0,0
61,0.610,0.555731,0.000000,0.485176,0.575162,0.000000,0.592229,0.108803,0.4041,0.109031,0,0
62,0.620,0.561318,0.000000,0.481730,0.582429,0.000000,0.591543,0.111824,0.4454,0.112094,0,0
63,0.630,0.566767,0.000000,0.478982,0.589791,0.000000,0.590732,0.114097,0.4454,0.114362,0,0
