step,t,px_actual,py_actual,pz_actual,px_ref,py_ref,pz_ref,pos_err,rot_err_deg,xerr_norm,grip_actual,grip_ref
0,0.000,0.484881,0.138617,0.570194,0.386814,0.000000,0.570194,0.169800,5.7296,0.197119,0,0
1,0.010,0.481560,0.132633,0.570149,0.386815,0.000000,0.570194,0.162997,5.5003,0.189220,0,0
2,0.020,0.478332,0.126916,0.570099,0.386825,0.000000,0.570198,0.156464,5.2801,0.181634,0,0
3,0.030,0.475205,0.121452,0.570035,0.386852,0.000000,0.570206,0.150190,5.0685,0.174348,0,0
4,0.040,0.472193,0.116231,0.569944,0.386903,0.000000,0.570224,0.144167,4.8653,0.167354,0,0
5,0.050,0.469305,0.111240,0.569812,0.386987,0.000000,0.570251,0.138386,4.6702,0.160640,0,0
6,0.060,0.466519,0.106464,0.569834,0.387111,0.000000,0.570292,0.132817,4.4827,0.154178,0,0
7,0.070,0.463862,0.101900,0.569861,0.387282,0.000000,0.570349,0.127469,4.3027,0.147971,0,0
8,0.080,0.461342,0.097535,0.569891,0.387507,0.000000,0.570423,0.122332,4.1299,0.142011,0,0
9,0.090,0.458965,0.093363,0.569919,0.387792,0.000000,0.570516,0.117399,3.9638,0.136286,0,0
10,0.100,0.456740,0.089371,0.569922,0.388145,0.000000,0.570632,0.112663,3.8043,0.130791,0,0
11,0.110,0.454676,0.085555,0.569853,0.388570,0.000000,0.570771,0.108123,3.6510,0.125519,0,0
12,0.120,0.452779,0.081907,0.569703,0.389074,0.000000,0.570935,0.103772,3.5039,0.120465,0,0
13,0.130,0.451049,0.078416,0.569511,0.389662,0.000000,0.571126,0.099600,3.3626,0.115617,0,0
14,0.140,0.449486,0.075076,0.569288,0.390340,0.000000,0.571344,0.095598,3.2268,0.110964,0,0
15,0.150,0.448097,0.071880,0.569015,0.391112,0.000000,0.571592,0.091764,3.0964,0.106505,0,0
16,0.160,0.446881,0.068822,0.568713,0.391985,0.000000,0.571871,0.088091,2.9712,0.102230,0,0
17,0.170,0.445847,0.065895,0.568328,0.392962,0.000000,0.572180,0.084580,2.8509,0.098138,0,0
18,0.180,0.444984,0.063092,0.567967,0.394048,0.000000,0.572521,0.081214,2.7354,0.094214,0,0
19,0.190,0.444320,0.060408,0.567361,0.395247,0.000000,0.572895,0.078025,2.6245,0.090483,0,0
20,0.200,0.443798,0.057838,0.567105,0.396564,0.000000,0.573300,0.074931,2.5179,0.086873,0,0
21,0.210,0.443538,0.055375,0.565527,0.398001,0.000000,0.573739,0.072162,2.4156,0.083580,0,0
22,0.220,0.443330,0.053016,0.565740,0.399564,0.000000,0.574210,0.069267,2.3173,0.080214,0,0
23,0.230,0.443349,0.050756,0.565361,0.401255,0.000000,0.574712,0.066600,2.2230,0.077080,0,0
24,0.240,0.443677,0.048593,0.561813,0.403077,0.000000,0.575247,0.064731,2.1323,0.074670,0,0
25,0.250,0.443998,0.046517,0.562271,0.405034,0.000000,0.575811,0.062173,2.0453,0.071694,0,0
26,0.260,0.444519,0.044528,0.562542,0.407129,0.000000,0.576406,0.059774,1.9617,0.068887,0,0
27,0.270,0.445283,0.042623,0.561423,0.409364,0.000000,0.577028,0.057883,1.8814,0.066551,0,0
28,0.280,0.446226,0.040796,0.560527,0.411742,0.000000,0.577678,0.056104,1.8043,0.064339,0,0
29,0.290,0.447367,0.039045,0.558391,0.414265,0.000000,0.578353,0.054943,1.7303,0.062698,0,0
30,0.300,0.448637,0.037365,0.558423,0.416935,0.000000,0.579050,0.053166,1.6593,0.060543,0,0
31,0.310,0.449549,0.035737,0.532761,0.419755,0.000000,0.579769,0.066140,1.5911,0.071735,0,0
32,0.320,0.451026,0.034193,0.534173,0.422726,0.000000,0.580506,0.064162,1.5256,0.069469,0,0
33,0.330,0.452701,0.032714,0.535572,0.425850,0.000000,0.581259,0.062277,1.4628,0.067308,0,0
34,0.340,0.454574,0.031294,0.536951,0.429128,0.000000,0.582024,0.060485,1.4025,0.065252,0,0
35,0.350,0.456646,0.029934,0.538298,0.432562,0.000000,0.582800,0.058792,1.3447,0.063304,0,0
36,0.360,0.458911,0.028627,0.539595,0.436152,0.000000,0.583582,0.057205,1.2891,0.061471,0,0
37,0.370,0.461369,0.027374,0.540808,0.439899,0.000000,0.584368,0.055747,1.2359,0.059775,0,0
38,0.380,0.464012,0.026171,0.541859,0.443804,0.000000,0.585152,0.054476,1.1848,0.058269,0,0
