# nodes.csv
# ID,x,y,heuristic-cost-to-go
1,-0.500000,-0.500000,1.414214
2,-0.487150,-0.451680,1.371189
3,-0.481395,-0.402012,1.332952
4,-0.446197,-0.366500,1.283008
5,-0.445625,-0.316503,1.249354
6,-0.406355,-0.285555,1.199406
7,-0.363649,-0.311559,1.185123
8,-0.397257,-0.236389,1.160750
9,-0.313700,-0.309304,1.147641
10,-0.263747,-0.307130,1.111201
11,-0.405255,-0.187033,1.136442
12,-0.222693,-0.335671,1.104822
13,-0.175453,-0.319291,1.061826
14,-0.143647,-0.280712,1.011826
15,-0.125559,-0.234098,0.964481
16,-0.109098,-0.186885,0.918048
17,-0.066329,-0.160985,0.870419
18,-0.397076,-0.137706,1.100643
19,-0.025503,-0.132119,0.822027
20,0.024258,-0.127235,0.787245
21,0.053878,-0.086953,0.737250
22,-0.358950,-0.105359,1.050835
23,0.097748,-0.110941,0.731475
24,-0.075331,-0.177325,0.888693
25,-0.095375,-0.293744,0.992220
26,0.125244,-0.069180,0.681475
27,0.152740,-0.027419,0.631475
28,0.109826,-0.159460,0.766240
29,0.131639,0.017910,0.606713
30,0.159788,-0.161419,0.743788
31,0.118950,0.066273,0.577337
32,0.209778,-0.162423,0.723210
33,0.149575,0.105797,0.527441
34,0.173288,0.149817,0.478925
35,0.259064,-0.170842,0.712797
36,0.161325,0.198365,0.453525
37,0.167045,0.020673,0.583621
38,0.198663,0.231619,0.403525
39,-0.055896,-0.092417,0.812391
40,0.268994,-0.121838,0.663360
41,0.114214,-0.209268,0.807398
42,0.220797,0.276453,0.357670
43,0.259828,0.307704,0.307670
44,-0.209181,-0.306557,1.073998
45,-0.373227,-0.057440,1.035986
46,0.116784,-0.077834,0.693359
47,0.318719,-0.127078,0.652755
48,0.140060,0.207125,0.464040
49,0.229874,0.347738,0.310084
50,0.219468,0.383141,0.303898
51,0.265624,0.402368,0.253898
52,-0.350829,-0.012738,0.993383
53,-0.414216,-0.107423,1.097612
54,-0.101483,-0.071877,0.829955
55,0.212911,0.119321,0.476799
56,0.108474,0.235078,0.472732
57,0.189516,-0.138699,0.710167
58,0.335635,-0.126368,0.647575
59,-0.463150,-0.491680,1.382421
60,0.311779,0.421595,0.203898
61,-0.319236,0.026016,0.946471
62,-0.064408,-0.193254,0.893956
63,0.359986,-0.170038,0.684510
64,0.357935,0.440821,0.153898
65,0.409282,-0.178399,0.684438
66,-0.420876,-0.042286,1.068684
67,0.100186,0.284386,0.454248
68,0.129296,0.026926,0.601016
69,-0.283437,0.060922,0.898088
70,0.240829,0.329222,0.310378
71,-0.131055,-0.031560,0.825098
72,0.346331,-0.077526,0.597620
73,0.311635,0.468677,0.190951
74,0.404090,0.460048,0.103898
75,-0.017718,-0.211143,0.879634
76,0.389176,0.401783,0.148082
77,0.449614,-0.191150,0.692984
78,0.450246,0.479274,0.053898
79,-0.199918,-0.380183,1.124548
80,-0.494991,-0.308566,1.282102
81,-0.446127,-0.345243,1.268697
82,-0.433392,-0.045522,1.081117
83,0.432249,-0.238038,0.741141
84,0.496402,0.498501,0.003898
